公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
104/03/05,103/06/19,府勞動字第10333099300號,和碩聯合科技股份有限公司,童子賢,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資。;延長工作時間超過法令規定。,勞動部104年2月11日勞動法訴字第1030023187號訴願駁回
104/03/05,103/07/07,府勞動字第10333689100號,威合股份有限公司,黃顯智,勞動基準法第30條第1項;勞動基準法第37條,正常工作時間超過法令規定。;依規定應放假之日未予休假。,勞動部104年2月12日勞動法訴字第1030024124號訴願駁回
104/03/05,103/07/08,府勞動字第10333932200號,七和實業股份有限公司,宋成功,勞動基準法第21條第1項;勞動基準法第30條第1項;勞動基準法第30條第5項;勞動基準法第37條,未達基本工資。;正常工作時間超過法令規定。;未依規定置備勞工出勤紀錄表。;依規定應放假之日未予休假。,
104/03/05,103/08/11,府勞動字第10333697700號,禾豐科技國際物流有限公司,吳振興,勞動基準法第22條第2項;勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第32條第2項;勞動基準法第37條,工資未全額直接給付勞工。;延長工作時間未依規定加給工資。;正常工作時間超過法令規定。;延長工作時間超過法令規定。;依規定應放假之日未予休假。,
104/03/05,104/01/06,府勞動字第10337766800號,嘉洲汽車材料有限公司,周文欽,勞動基準法第37條;勞動基準法第38條,依規定應放假之日未予休假。;未依規定給予特別休假。,
104/03/05,104/01/06,府勞動字第10337791700號,統和營造股份有限公司,林柱雄,勞動基準法第27條,限期令其改善仍未改善。,
104/03/05,104/01/07,府勞動字第10337796600號,邁偉實業有限公司,林建忠,勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第32條第2項;勞動基準法第35條;勞動基準法第36條,延長工作時間未依規定加給工資。;正常工作時間超過法令規定。;延長工作時間超過法令規定。;未依規定給予休息時間。;每七日中未有一日之休息作為例假。,
104/03/05,104/01/08,府勞動字第10338978800號,六福開發股份有限公司,莊村徹,勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第36條,延長工作時間未依規定加給工資。;正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/03/05,104/01/12,府勞動字第10337766300號,森淨有限公司,林基洲,勞動基準法第21條第1項;勞動基準法第22條第2項;勞動基準法第24條,未達基本工資。;工資未全額直接給付勞工。;延長工作時間未依規定加給工資。,
104/03/05,104/01/12,府勞動字第10337770800號,台灣開利股份有限公司,廖居政,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/03/05,104/01/12,府勞動字第10337766500號,台灣觀光巴士有限公司,徐范煦敏,勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第37條,正常工作時間超過法令規定。;每七日中未有一日之休息作為例假。;依規定應放假之日未予休假。,
104/03/05,104/01/12,府勞動字第10337764600號,介興營造股份有限公司,林佳淼,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/03/05,104/01/14,府勞動字第10337797100號,幸邑營造股份有限公司,陳竹誠,勞動基準法第22條第2項;勞動基準法第23條第2項;勞動基準法第30條第5項,工資未全額直接給付勞工。;未依規定置備工資清冊。;未依規定置備勞工出勤紀錄表。,
104/03/05,104/01/15,府勞動字第10337793900號,老行家國際燕窩股份有限公司,李成壽,勞動基準法第36條;勞動基準法第37條,每七日中未有一日之休息作為例假。;依規定應放假之日未予休假。,
104/03/05,104/01/21,府勞動字第10338645400號,台灣順豐速運股份有限公司,章學芬,勞動基準法第24條,延長工作時間未依規定加給工資。,
104/03/05,104/01/22,府勞動字第10337793700號,西門子股份有限公司,赫爾曼,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,
104/03/05,104/01/22,府勞動字第10338423500號,饗賓餐旅事業股份有限公司,陳啟昌,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,
104/03/05,104/01/26,府勞動字第10337796700號,誼光保全股份有限公司,林伯峰,勞動基準法第21條第1項;勞動基準法第30條第5項;勞動基準法第36條,未達基本工資。;未依規定置備勞工出勤紀錄表。;每七日中未有一日之休息作為例假。,
104/03/05,104/01/26,府勞動字第10337800700號,京星餐廳有限公司,林俊易,勞動基準法第30條第1項;勞動基準法第37條,正常工作時間超過法令規定。;依規定應放假之日未予休假。,
104/03/05,104/01/26,府勞動字第10337797000號,美商怡佳股份有限公司,陳國憫,勞動基準法第22條第2項,工資未全額直接給付勞工。,
104/03/05,104/01/26,府勞動字第10338690100號,威裕股份有限公司,丁洋機,勞動基準法第30條第1項;勞動基準法第32條第2項;勞動基準法第36條,正常工作時間超過法令規定。;延長工作時間超過法令規定。;每七日中未有一日之休息作為例假。,
104/03/05,104/01/30,府勞動字第10333099300號,京宣企業有限公司,林俊易,勞動基準法第30條第1項;勞動基準法第37條,正常工作時間超過法令規定。;依規定應放假之日未予休假。,
