項次,事業單位/事業主,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,麗鎮工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022060284號,102年06月21日
1,麗鎮工業股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10220602841號,102年06月21日
1,麗鎮工業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加倍發給,北府勞條字第10220602842號,102年06月21日
2,美而美食品實業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1022261500號,102年07月22日
2,美而美食品實業有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10222615001號,102年07月22日
2,美而美食品實業有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第10222615002號,102年07月22日
2,美而美食品實業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加倍發給,北府勞條字第10222615003號,102年07月22日
3,祥泰保全股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第1023340084號,103年01月03日,重覆違反法令
3,祥泰保全股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10233400841號,103年01月03日
4,欣欣客運股份有限公司,勞基法第36條,每7日中未有1日之休息作為例假,北府勞條字第1023398588號,103年01月03日,重覆違反法令
5,國際直線科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第1030008365號,103年01月06日,重覆違反法令
6,宏達國際電子股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第1030017724號,103年01月08日,重覆違反法令
7,京凌電子股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1030022432號,103年01月09日,重覆違反法令
8,浩然科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1030050816號,103年01月16日,重覆違反法令
9,香港商世界健身事業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1030153608號,103年01月28日
9,香港商世界健身事業有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10301536081號,103年01月28日,重覆違反法令
10,泓展國際物流有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1030143077號,103年01月28日,重覆違反法令
10,泓展國際物流有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10301430771號,103年01月28日
11,萬盛實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第1030202577號,103年02月06日,重覆違反法令
12,鑫源盛科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1030214024號,103年02月12日,重覆違反法令
13,家福股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第1030261733號,103年02月17日,重覆違反法令
14,美淇食品有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1030237975號,103年02月19日
14,美淇食品有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第10302379751號,103年02月19日,重覆違反法令
15,台灣松下電器股份有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第1030207867號,103年02月19日,重覆違反法令
16,新航通運有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第1030206411號,103年02月19日,重覆違反法令
17,瑞晶應用材料科技股份有限公司,勞基法第16條,未依規定期間預告終止勞動契約或未給付不足法定預告期間日數之工資,北府勞條字第1030317941號,103年02月25日
17,瑞晶應用材料科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第10303179411號,103年02月25日
17,瑞晶應用材料科技股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10303179412號,103年02月25日
18,台灣軟電股份有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第1030327727號,103年02月25日,重覆違反法令
19,精讚成功企業有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1030325607號,103年02月25日,重覆違反法令
20,全崴科技有限公司,勞基法第32條第2項,延長工作時間超過法令限制,北府勞條字第1030317942號,103年02月27日,重覆違反法令
20,全崴科技有限公司,勞基法第70條,僱用勞工30人以上應訂工作規則報主管機關核備,北府勞條字第10303179421號,103年02月27日
21,振儀科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1030308536號,103年02月27日
21,振儀科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10303085361號,103年02月27日
21,振儀科技股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加倍發給,北府勞條字第10303085362號,103年02月27日
