編號,事業單位,違反法令條款,違反法規內容,處分書文號,處分書日期,備註
1,雲朗觀光股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1022271970號,102年07月25日,重複違反法令
2,福容大飯店股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1022577711號,102年09月09日,重複違反法令
3,嘉賀保全股份有限公司,勞基法第22-2條,工資未全額直接給付勞工。,北府勞條字第1022668660號,102年09月23日,
3,嘉賀保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10226686601號,102年09月23日,
3,嘉賀保全股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10226686602號,102年09月23日,重複違反法令
3,嘉賀保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10226686603號,102年09月23日,
4,轟動租車股份有限公司,勞基法第22-2條,工資未全額直接給付勞工。,北府勞條字第1023178237號,102年12月03日,
4,轟動租車股份有限公司,勞基法第30-5條,未依規定置備勞工出勤紀錄表。,北府勞條字第10231782371號,102年12月03日,
4,轟動租車股份有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10231782372號,102年12月03日,
5,翔賀保全股份有限公司,勞基法第21-1條,未達基本工資。,北府勞條字第1030328617號,103年03月05日,
5,翔賀保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10303286171號,103年03月05日,
5,翔賀保全股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10303286172號,103年03月05日,
5,翔賀保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10303286173號,103年03月05日,
6,恆信塑膠廠股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030362705號,103年03月10日,
6,恆信塑膠廠股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10303627051號,103年03月10日,
6,恆信塑膠廠股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10303627052號,103年03月10日,
7,全聯實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030362703號,103年03月10日,重複違反法令
8,永錡大安加油站股份有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第1030338761號,103年03月06日,
8,永錡大安加油站股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10303387611號,103年03月06日,重複違反法令
9,瑞奇科技數位有限公司,勞基法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務。,北府勞條字第1030377065號,103年03月10日,
10,游曉芸(即布娜飛小吃店),勞基法第21-1條,未達基本工資。,北府勞條字第1030460378號,103年03月19日,
10,游曉芸(即布娜飛小吃店),勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10304603781號,103年03月19日,
10,游曉芸(即布娜飛小吃店),勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10304603782號,103年03月19日,
11,統一速達股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第1030484194號,103年03月21日,重複違反法令
12,文菱科技股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第1030470245號,103年03月24日,重複違反法令
13,南俊國際股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030470254號,103年03月24日,重複違反法令
13,南俊國際股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10304702541號,103年03月24日,重複違反法令
14,正誠工業有限公司,勞基法第22-2條,工資未全額直接給付勞工。,北府勞條字第1030502508號,103年03月25日,
14,正誠工業有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10305025081號,103年03月25日,
14,正誠工業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10305025082號,103年03月25日,
15,苗鵬生(即台裕塑膠廠),勞基法第23-2條,未依規定置備勞工工資清冊。,北府勞條字第1030535050號,103年03月31日,
15,苗鵬生(即台裕塑膠廠),勞基法第30-5條,未依規定置備勞工出勤紀錄表。,北府勞條字第10305350501號,103年03月31日,
15,苗鵬生(即台裕塑膠廠),勞基法第38條,未依規定給予特別休假。,北府勞條字第10305350502號,103年03月31日,
16,聯米企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030546608號,103年04月03日,重複違反法令
16,聯米企業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10305466081號,103年04月03日,
17,鋁祥發實業有限公司,勞基法第22-2條,工資未全額直接給付勞工。,北府勞條字第1030578462號,103年04月02日,
17,鋁祥發實業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10305784621號,103年04月02日,重複違反法令
18,喜寶食品生技股份有限公司,勞基法第23-2條,未依規定置備勞工工資清冊。,北府勞條字第1030603163號,103年04月09日,
18,喜寶食品生技股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10306031631號,103年04月09日,重複違反法令
19,遠傳電信股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030608486號,103年04月11日,重複違反法令
20,千翔保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1022804252號,102年10月11日,重複違反法令
20,千翔保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第1030650946號,103年04月15日,重複違反法令
21,竣百有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030671010號,103年04月22日,
21,竣百有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10306710101號,103年04月22日,
21,竣百有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10306710102號,103年04月22日,
22,韓華國際有限公司,勞基法第30-5條,未依規定置備勞工出勤紀錄表。,北府勞條字第1030729831號,103年04月24日,重複違反法令
23,鴻銳保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030735832號,103年04月25日,重複違反法令
23,鴻銳保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10307358321號,103年04月25日,
24,怡盛保全股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第1030741391號,103年04月25日,重複違反法令
24,怡盛保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10307413911號,103年04月25日,重複違反法令
25,友順科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030731832號,103年04月29日,重複違反法令
26,誼光保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030754540號,103年04月29日,
26,誼光保全股份有限公司,勞基法第30-5條,未依規定置備勞工出勤紀錄表。,北府勞條字第10307545401號,103年04月29日,
26,誼光保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10307545402號,103年04月29日,
