項次,事業單位名稱(負責人姓名),違反法令條款,違反法規內容,處分書文號,處分日期,備註欄
1,貝司特人力資源有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10238760100號,102/12/30,勞動派遣專案
1,貝司特人力資源有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238760100號,102/12/30,勞動派遣專案
1,貝司特人力資源有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10238760100號,102/12/30,勞動派遣專案
2,全球華人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238552600號,102/12/30,勞動派遣專案
2,全球華人股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10238552600號,102/12/30,勞動派遣專案
3,長倚國際有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238478700號,102/12/25,勞動派遣專案
4,常友股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238752300號,102/12/30,勞動派遣專案
5,紘成實業有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10238656000號,102/12/25,勞動派遣專案
6,喬立管理顧問有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237984900號,102/12/09,勞動派遣專案
7,鑫平企業有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10238191600號,102/12/13,勞動派遣專案
8,邱文鴻即君穎企業行,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10238074500號,102/12/25,勞動派遣專案
9,奕銓有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238441800號,102/12/23,勞動派遣專案
10,韋得企業有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10330046500號,103/01/03,勞動派遣專案
11,阜康人力派遣有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10236514200號,102/10/2,勞動派遣專案
12,王櫻潓即富發企業社,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10236429600號函,102/09/27,勞動派遣專案
13,謝仁耀即國富浩華聯合會計師事務所高雄所,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236396700號,102/10/15,會計服務業
14,展立聯合會計師事務所,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236761900號,102/10/31,會計服務業
15,達業聯合會計師事務所,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236319900號,102/10/29,會計服務業
16,林岱融即佳安記帳士事務所,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236706900號,102/11/13,會計服務業
17,林福坤即鑫大會計師事務所,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236597000號,102/10/30,會計服務業
18,劉榮欽即建昇財稅聯合會計師事務所,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236397500號,102/10/15,會計服務業
19,洪秋禎即全亞聯合會計師事務所,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10236392900號,102/10/04,會計服務業
20,國巨股份有限公司大發二廠,勞動基準法第24條,未達基本工資。,高市勞條字第10236657500號,102/10/28,電子製造業
22,何玉秀即清心冷飲店新田店,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10236478600號函,102/10/15,工讀生專案
22,何玉秀即清心冷飲店新田店,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236478600號函,102/10/15,工讀生專案
23,高雄市私立學廬文理短期補習班,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237105800號函,102/10/30,工讀生專案
23,高雄市私立學廬文理短期補習班,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10237105800號函,102/10/30,工讀生專案
21,蔡鴻辰即永鴻商行,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10237793000號函,102/11/26,工讀生專案
24,周芳志即小凌髮藝店,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236828500號函,102/10/16,工讀生專案
25,菓風小舖股份有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10236237800號函,102/09/25,工讀生專案
26,崔一芳即小園和食店,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236982700號,102/10/24,建教生專案
27,陸賀流通事業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236906500號,102/10/15,建教生專案
28,金閣屋餐飲有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236842100號,102/10/23,建教生專案
29,宋承潾即采萱髮型美容坊,勞動基準法第65條第1項,招收技術生時未與其簽訂書面訓練契約，由當事人分執並送主管機關備案。,高市勞條字第10237553000號,102/11/27,建教生專案
29,宋承潾即采萱髮型美容坊,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10237553000號,102/11/27,建教生專案
30,醉便宜小吃部,勞動基準法第36條,未有每7天休息1日,高市勞條字第10238195600號,103/1/3,建教生專案
31,味香山海產店,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10238223600號函,102/12/17,建教生專案
